"","CFSAUID","DGUID","PRUID","PRNAME","LANDAREA","geometry","coord"
"55","B1H","2021A0011B1H","12","Nova Scotia / Nouvelle-Écosse",54.2751,c(8577965.161099, 1726363.3443206),c(-60.0879503263293, 46.2334692231592)
"56","B1J","2021A0011B1J","12","Nova Scotia / Nouvelle-Écosse",281.5396,c(8564884.61083692, 1679934.70186238),c(-60.5171410008621, 45.9259782049585)
"57","B1K","2021A0011B1K","12","Nova Scotia / Nouvelle-Écosse",770.9546,c(8586632.49672564, 1686423.23418196),c(-60.2345078677194, 45.8849229700562)
"58","B1L","2021A0011B1L","12","Nova Scotia / Nouvelle-Écosse",183.4694,c(8574560.47534709, 1702831.39403616),c(-60.2700214484404, 46.0641691470448)
"59","B1M","2021A0011B1M","12","Nova Scotia / Nouvelle-Écosse",49.332,c(8583140.24659134, 1718381.40715224),c(-60.0787611021535, 46.1491303520194)
"60","B1N","2021A0011B1N","12","Nova Scotia / Nouvelle-Écosse",55.3009,c(8574013.30973352, 1720516.92978672),c(-60.1682432729108, 46.204636474815)
"61","B1P","2021A0011B1P","12","Nova Scotia / Nouvelle-Écosse",42.873,c(8581328.4407701, 1712869.40064822),c(-60.1328421518046, 46.1138287787075)
"62","B1R","2021A0011B1R","12","Nova Scotia / Nouvelle-Écosse",25.417,c(8572227.36120341, 1709418.50118963),c(-60.2561113514589, 46.1255170803203)
"63","B1S","2021A0011B1S","12","Nova Scotia / Nouvelle-Écosse",14.8871,c(8576067.55198052, 1708641.9847323),c(-60.2177109794695, 46.1031688061757)
"64","B1T","2021A0011B1T","12","Nova Scotia / Nouvelle-Écosse",180.6172,c(8552349.65589889, 1679077.57795639),c(-60.6629868821048, 45.9718328803997)
"65","B1V","2021A0011B1V","12","Nova Scotia / Nouvelle-Écosse",11.7201,c(8568075.06133328, 1722561.75229841),c(-60.2225750219749, 46.2458325339178)
"66","B1W","2021A0011B1W","12","Nova Scotia / Nouvelle-Écosse",35.909,c(8556035.74593558, 1679541.97055934),c(-60.6187917208181, 45.9600349191642)
"67","B1X","2021A0011B1X","12","Nova Scotia / Nouvelle-Écosse",235.0407,c(8548752.4608766, 1709428.96432634),c(-60.5204299003009, 46.2247216756258)
"68","B1Y","2021A0011B1Y","12","Nova Scotia / Nouvelle-Écosse",236.5393,c(8560003.91758448, 1714201.05267546),c(-60.3645369597779, 46.2146389856746)
"69","B2A","2021A0011B2A","12","Nova Scotia / Nouvelle-Écosse",78.6914,c(8567252.31306007, 1709725.88536455),c(-60.3101715181676, 46.1489874125918)
"70","B2C","2021A0011B2C","12","Nova Scotia / Nouvelle-Écosse",170.2944,c(8538401.61138896, 1672877.09114339),c(-60.8569744030959, 45.9814173515295)
"71","B2E","2021A0011B2E","12","Nova Scotia / Nouvelle-Écosse",73.0693,c(8573687.67818012, 1663781.63857208),c(-60.5157158407875, 45.762665593049)
"72","B2G","2021A0011B2G","12","Nova Scotia / Nouvelle-Écosse",996.4274,c(8476556.10879299, 1607313.18408386),c(-61.9381627236425, 45.7179221959327)
"73","B2H","2021A0011B2H","12","Nova Scotia / Nouvelle-Écosse",311.9752,c(8439729.34490161, 1569068.47515759),c(-62.5713488035657, 45.5614373882889)
"74","B2J","2021A0011B2J","12","Nova Scotia / Nouvelle-Écosse",110.1724,c(8588187.13181724, 1656196.551186),c(-60.399576082191, 45.6424350964218)
"75","B2N","2021A0011B2N","12","Nova Scotia / Nouvelle-Écosse",57.1758,c(8401324.35628349, 1523869.65647179),c(-63.2559578637266, 45.3512849378424)
"76","B2R","2021A0011B2R","12","Nova Scotia / Nouvelle-Écosse",54.3199,c(8408430.81444703, 1453755.27450938),c(-63.5546425438389, 44.7648858261449)
"77","B2S","2021A0011B2S","12","Nova Scotia / Nouvelle-Écosse",458.5052,c(8395039.77248113, 1483809.27811235),c(-63.5439856912001, 45.0556588454211)
"78","B2T","2021A0011B2T","12","Nova Scotia / Nouvelle-Écosse",545.0617,c(8407892.54078357, 1468488.53995513),c(-63.4818095801427, 44.8844153840047)
"79","B2V","2021A0011B2V","12","Nova Scotia / Nouvelle-Écosse",11.2236,c(8419793.70442158, 1445374.52729166),c(-63.4724106076968, 44.6548282613558)
"80","B2W","2021A0011B2W","12","Nova Scotia / Nouvelle-Écosse",22.9358,c(8416363.15263752, 1445191.91879236),c(-63.5116756635702, 44.6664433091561)
"81","B2X","2021A0011B2X","12","Nova Scotia / Nouvelle-Écosse",12.06,c(8412909.21167124, 1448250.47363332),c(-63.5339377869669, 44.7039634734815)
"82","B2Y","2021A0011B2Y","12","Nova Scotia / Nouvelle-Écosse",6.3741,c(8413532.71373802, 1443402.8326613),c(-63.5528185754157, 44.6629560790425)
"83","B2Z","2021A0011B2Z","12","Nova Scotia / Nouvelle-Écosse",118.3062,c(8424373.5072412, 1451275.78793568),c(-63.3897357625902, 44.684334777111)
"84","B3A","2021A0011B3A","12","Nova Scotia / Nouvelle-Écosse",24.742,c(8409682.41011518, 1446250.90827514),c(-63.5806651203761, 44.700293340116)
"85","B3B","2021A0011B3B","12","Nova Scotia / Nouvelle-Écosse",3.0519,c(8407529.28831956, 1444366.99785928),c(-63.6147650240328, 44.6934473472384)
"86","B3E","2021A0011B3E","12","Nova Scotia / Nouvelle-Écosse",94.8735,c(8423971.19160806, 1460583.82870215),c(-63.3442695481666, 44.7599742893997)
"87","B3G","2021A0011B3G","12","Nova Scotia / Nouvelle-Écosse",32.5854,c(8422911.61761571, 1441026.53163958),c(-63.4608530759855, 44.6083161264893)
"88","B3H","2021A0011B3H","12","Nova Scotia / Nouvelle-Écosse",6.6375,c(8413289.64612625, 1439396.20882494),c(-63.5768624151666, 44.631947245266)
"89","B3J","2021A0011B3J","12","Nova Scotia / Nouvelle-Écosse",0.9453,c(8413427.89280679, 1440823.22278035),c(-63.5677257624465, 44.6427953327221)
"90","B3K","2021A0011B3K","12","Nova Scotia / Nouvelle-Écosse",6.5399,c(8409659.38085148, 1441882.10148323),c(-63.6041777873797, 44.6655486601563)
"91","B3L","2021A0011B3L","12","Nova Scotia / Nouvelle-Écosse",4.4422,c(8409700.26850389, 1439948.63159305),c(-63.6140016082229, 44.6499779762318)
"92","B3M","2021A0011B3M","12","Nova Scotia / Nouvelle-Écosse",12.0434,c(8404992.57407555, 1442200.50751123),c(-63.6546450022986, 44.6857884232809)
"93","B3N","2021A0011B3N","12","Nova Scotia / Nouvelle-Écosse",7.5457,c(8408494.34005631, 1437821.86419277),c(-63.6387686252488, 44.6375939081193)
"94","B3P","2021A0011B3P","12","Nova Scotia / Nouvelle-Écosse",11.9286,c(8412981.99147248, 1437077.84170903),c(-63.5926235561555, 44.6146376255647)
"95","B3R","2021A0011B3R","12","Nova Scotia / Nouvelle-Écosse",14.7484,c(8413949.00139269, 1434884.75179618),c(-63.593488877768, 44.5934877436227)
"96","B3S","2021A0011B3S","12","Nova Scotia / Nouvelle-Écosse",3.8052,c(8405590.50090817, 1438975.86611034),c(-63.6650836252784, 44.6578014614245)
"97","B3T","2021A0011B3T","12","Nova Scotia / Nouvelle-Écosse",215.295,c(8406294.84637693, 1425346.00177006),c(-63.7293926504091, 44.5464229638622)
"98","B3V","2021A0011B3V","12","Nova Scotia / Nouvelle-Écosse",124.474,c(8418648.01891909, 1425641.93377327),c(-63.5901860994602, 44.5020082263689)
"99","B3Z","2021A0011B3Z","12","Nova Scotia / Nouvelle-Écosse",508.0347,c(8385502.85469211, 1428571.98818269),c(-63.9447423232531, 44.6504714175651)
"100","B4A","2021A0011B4A","12","Nova Scotia / Nouvelle-Écosse",19.8529,c(8403182.56444149, 1446242.79702526),c(-63.6534079032745, 44.7248959474535)
"101","B4B","2021A0011B4B","12","Nova Scotia / Nouvelle-Écosse",163.0519,c(8391603.219417, 1444261.61733275),c(-63.7936121813137, 44.7528755843924)
"102","B4C","2021A0011B4C","12","Nova Scotia / Nouvelle-Écosse",33.9042,c(8402724.36719077, 1450554.72116408),c(-63.6355938366082, 44.7610351190289)
"103","B4E","2021A0011B4E","12","Nova Scotia / Nouvelle-Écosse",41.3849,c(8392588.30243374, 1452645.66008171),c(-63.7380920326751, 44.81611773902)
"104","B4G","2021A0011B4G","12","Nova Scotia / Nouvelle-Écosse",115.2362,c(8393701.10144001, 1461304.76253346),c(-63.6795158708272, 44.8810562599797)
"105","B4H","2021A0011B4H","12","Nova Scotia / Nouvelle-Écosse",732.8223,c(8320871.88344285, 1551049.56010288),c(-64.0267041545589, 45.875326797922)
"106","B4N","2021A0011B4N","12","Nova Scotia / Nouvelle-Écosse",321.1869,c(8327399.84974124, 1443762.21268049),c(-64.5197312838651, 44.9883553078668)
"107","B4P","2021A0011B4P","12","Nova Scotia / Nouvelle-Écosse",221.0262,c(8337797.34874925, 1452431.86566356),c(-64.356800587527, 45.0195758740764)
"108","B4R","2021A0011B4R","12","Nova Scotia / Nouvelle-Écosse",7.7363,c(8319269.25924475, 1450072.02947027),c(-64.5791650432993, 45.0690446785351)
"109","B4V","2021A0011B4V","12","Nova Scotia / Nouvelle-Écosse",638.0046,c(8353540.1457987, 1372907.60046341),c(-64.5906199372666, 44.3234109709382)
"110","B5A","2021A0011B5A","12","Nova Scotia / Nouvelle-Écosse",553.1379,c(8262223.51229505, 1282588.20607801),c(-66.0589706392797, 43.9220948328939)
"111","B6L","2021A0011B6L","12","Nova Scotia / Nouvelle-Écosse",877.8391,c(8403887.10478585, 1532487.25282535),c(-63.179791437862, 45.4101337803323)
